County,Public Schools,Private Schools,Total School,Enrollment in Public Schools,Enrollment in Private Schools,Avg School Size,Gross Enrollment,Net Enrollment,Total Enrollment,Population
Mombasa,50,79,129,28317,9306,292,46.7,31,37623,80563.16916
Kwale,91,10,101,42886,1562,440,51.9,26.5,44448,85641.6185
Kilifi,159,41,200,81917,7647,448,59.9,30.9,89564,149522.5376
Tana River,33,2,35,9818,374,291,34.3,18.9,10192,29714.28571
Lamu,27,4,31,8145,357,274,64.7,35.4,8502,13140.64915
Taita Taveta,87,7,94,29254,643,318,98.6,68,29897,30321.50101
Garissa,35,33,68,13931,7341,313,20.5,9.9,21272,103765.8537
Wajir,53,3,56,21586,228,390,23.3,14.5,21814,93622.3176
Mandera,57,8,65,18613,434,293,18.7,11.4,19047,101855.615
Marsabit,42,6,48,9303,889,212,19.6,12.1,10192,52000
Isiolo,32,3,35,7011,851,225,27.4,20.4,7862,28693.43066
Meru,388,22,410,122738,3295,307,86.5,61.9,126033,145702.8902
Tharaka,151,9,160,49219,2120,321,136,97,51339,37749.26471
Embu,196,13,209,57601,2184,286,108.5,75.9,59785,55101.38249
Kitui,443,12,455,103640,2260,233,76.7,53.1,105900,138070.4042
Machakos,368,83,451,111401,10128,269,94,69.8,121529,129286.1702
Makueni,390,17,407,121384,3101,306,113,81.2,124485,110163.7168
Nyandarua,173,31,204,65948,3635,341,101.5,75.1,69583,68554.6798
Nyeri,221,17,238,77981,2029,336,127.8,91.6,80010,62605.6338
Kirinyaga,153,15,168,54687,865,331,110,80.8,55552,50501.81818
Murang'a,313,33,346,124590,5977,377,139,101.9,130567,93933.09353
Kiambu,290,99,389,135681,7428,368,82.4,64,143109,173675.9709
Turkana,57,4,61,32635,2410,575,33.8,16.7,35045,103683.432
West Pokot,161,2,163,43237,503,268,70.4,52.3,43740,62130.68182
Samburu,44,8,52,11598,1351,249,40.2,30,12949,32211.44279
Trans Nzoia,240,14,254,99402,1878,399,89.8,62.8,101280,112783.9644
Uasin Gishu,194,40,234,70218,5306,323,66.5,44.3,75524,113569.9248
Keiyo-Marakwet,128,2,130,45087,1165,356,93.7,61.7,46252,49361.79296
Nandi,239,9,248,86631,924,353,91,59.5,87555,96214.28571
Baringo,176,7,183,49094,1609,277,69.3,52.2,50703,73164.50216
Laikipia,120,20,140,41294,1988,309,86.7,59.3,43282,49921.56863
Nakuru,363,149,512,153850,12976,326,80.8,59.2,166826,206467.8218
Narok,160,17,177,50327,2765,300,46.2,33.5,53092,114917.7489
Kajiado,92,73,165,36699,10355,285,53.8,37.3,47054,87460.96654
Kericho,241,11,252,93225,1402,376,99.2,75.4,94627,95390.12097
Bomet,286,13,299,96049,1566,326,98.7,78.4,97615,98900.70922
Kakamega,425,28,453,183255,3239,412,86.2,58.3,186494,216350.348
Vihiga,159,3,162,76297,458,474,115.5,77.6,76755,66454.54545
Bungoma,367,29,396,168770,2413,432,86.8,62.2,171183,197215.4378
Busia,162,7,169,70930,603,423,68.3,42.6,71533,104733.5286
Siaya,242,1,243,106395,231,439,99.9,71.4,106626,106732.7327
Kisumu,230,20,250,97882,2816,403,85.1,60.8,100698,118329.0247
Homa Bay,329,23,352,116415,2028,336,92.9,64.7,118443,127495.1561
Migori,283,33,316,98220,2969,320,83.2,63.6,101189,121621.3942
Kisii,359,20,379,139165,2197,373,103.7,83,141362,136318.2257
Nyamira,190,4,194,63634,548,331,98.2,78.6,64182,65358.45214
Nairobi,101,206,307,76636,30329,348,38.6,28.8,106965,277111.399
National,9100,1290,10390,3402596,166683,344,76.5,54.1,3569279,4665724.183
